Equipo,ACT,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Temporada
Celta Vigo,17.3,12.6,1.37,1.08,0.97,1.16,0.21,1.76,1.13,0.08,0.21,0.13,0.21,0.00,2019-2020
Eibar,18.7,11.8,2.55,1.05,1.45,1.26,0.50,1.66,1.00,0.18,0.13,0.16,0.18,0.00,2019-2020
Espanyol,18.2,12.3,2.16,0.97,1.18,1.32,0.21,1.16,0.68,0.13,0.05,0.16,0.08,0.05,2019-2020
Getafe,18.2,12.2,2.18,0.95,0.92,1.66,0.26,1.84,1.13,0.18,0.18,0.16,0.16,0.03,2019-2020
Granada,17.6,11.4,2.34,0.84,1.00,1.53,0.50,2.26,1.37,0.24,0.13,0.21,0.21,0.11,2019-2020
Leganes,19.8,13.4,2.29,1.16,1.26,1.50,0.18,1.42,1.00,0.11,0.05,0.08,0.16,0.03,2019-2020
Levante,19.6,14.4,1.87,1.26,0.92,0.97,0.21,2.08,1.37,0.11,0.16,0.21,0.24,0.00,2019-2020
Mallorca,19.5,13.4,2.05,1.34,1.00,1.50,0.21,1.68,1.08,0.03,0.16,0.13,0.26,0.03,2019-2020
Osasuna,20.6,14.6,2.47,1.05,1.11,1.11,0.32,1.92,1.29,0.24,0.11,0.13,0.13,0.03,2019-2020
Real Madrid,26.9,20.5,1.79,1.92,1.21,1.11,0.32,3.29,2.37,0.18,0.18,0.13,0.39,0.03,2019-2020
Real Sociedad,19.6,14.5,1.84,0.89,1.05,1.03,0.29,2.42,1.82,0.16,0.11,0.16,0.05,0.13,2019-2020
Sevilla,23.0,16.7,2.37,1.34,1.11,1.11,0.32,2.34,1.53,0.21,0.26,0.13,0.21,0.00,2019-2020
Valencia,16.1,11.7,1.39,1.03,0.58,1.13,0.26,2.11,1.47,0.13,0.21,0.05,0.24,0.00,2019-2020
Valladolid,17.0,11.9,1.24,1.21,0.82,1.53,0.32,1.39,0.89,0.05,0.11,0.16,0.18,0.00,2019-2020
Villarreal,22.7,16.9,1.74,1.58,1.16,0.97,0.39,2.84,1.87,0.13,0.26,0.26,0.29,0.03,2019-2020
Alaves,15.7,9.87,2.58,0.63,0.92,1.32,0.34,1.55,0.74,0.26,0.08,0.13,0.24,0.11,2020-2021
Athletic Club,19.0,14.2,1.74,0.97,0.66,1.13,0.34,1.92,1.37,0.13,0.08,0.13,0.18,0.03,2020-2021
Atletico de Madrid,20.9,15.4,1.87,1.45,1.11,0.92,0.21,3.16,2.37,0.18,0.32,0.08,0.18,0.03,2020-2021
Barcelona,28.0,21.9,1.32,2.00,0.89,1.61,0.26,3.58,2.76,0.05,0.32,0.24,0.18,0.03,2020-2021
Betis,21.0,15.2,1.95,1.55,1.03,0.95,0.34,2.39,1.53,0.32,0.16,0.13,0.24,0.03,2020-2021
Cadiz,13.6,8.68,1.71,1.00,0.71,1.11,0.39,1.39,0.97,0.05,0.08,0.16,0.11,0.03,2020-2021
Celta Vigo,16.4,12.1,1.34,0.82,0.95,1.00,0.21,2.58,1.82,0.16,0.13,0.16,0.26,0.05,2020-2021
Eibar,19.9,13.2,2.32,1.29,1.37,1.34,0.39,1.26,0.79,0.08,0.16,0.11,0.05,0.08,2020-2021
Elche,12.1,8.37,1.58,0.58,0.66,0.79,0.13,1.42,0.92,0.21,0.08,0.11,0.08,0.03,2020-2021
Getafe,16.3,10.9,1.84,0.97,0.97,1.37,0.24,1.00,0.58,0.00,0.16,0.16,0.11,0.00,2020-2021
Granada,15.6,10.2,1.74,0.97,1.13,1.32,0.24,1.82,1.18,0.11,0.13,0.24,0.11,0.05,2020-2021
Huesca,18.9,13.6,1.87,1.16,0.89,1.13,0.26,1.47,1.08,0.16,0.05,0.11,0.03,0.05,2020-2021
Levante,17.7,13.7,1.26,0.95,0.66,0.76,0.37,2.11,1.58,0.11,0.13,0.11,0.08,0.11,2020-2021
Osasuna,16.2,11.6,1.84,0.82,0.92,0.79,0.21,1.61,1.18,0.11,0.00,0.16,0.08,0.08,2020-2021
Real Madrid,25.8,19.6,2.08,1.45,1.34,1.08,0.26,3.00,2.34,0.16,0.21,0.13,0.11,0.05,2020-2021
Real Sociedad,19.7,14.0,2.00,0.92,1.18,1.26,0.34,2.63,1.89,0.24,0.05,0.24,0.21,0.00,2020-2021
Sevilla,21.8,16.7,1.61,1.45,0.95,0.92,0.21,2.29,1.71,0.11,0.21,0.16,0.11,0.00,2020-2021
Valencia,18.1,12.7,1.53,1.24,0.89,1.55,0.18,2.26,1.53,0.26,0.13,0.13,0.21,0.00,2020-2021
Valladolid,17.2,12.4,1.32,0.87,0.82,1.45,0.32,1.47,0.95,0.05,0.08,0.13,0.24,0.03,2020-2021
Villarreal,19.5,15.2,1.21,1.29,0.71,0.97,0.18,2.61,1.82,0.08,0.32,0.18,0.18,0.03,2020-2021
Alaves,16.5,10.3,2.32,1.00,1.21,1.39,0.29,1.26,0.71,0.16,0.11,0.13,0.16,0.00,2021-2022
Athletic Club,21.6,15.3,2.47,1.21,1.11,1.24,0.29,1.89,1.37,0.24,0.03,0.05,0.13,0.08,2021-2022
Atletico de Madrid,21.8,15.6,2.26,1.47,1.08,1.05,0.32,2.92,2.26,0.16,0.13,0.21,0.08,0.08,2021-2022
Barcelona,24.8,19.2,1.63,1.79,0.89,1.08,0.24,3.24,2.50,0.13,0.18,0.21,0.16,0.05,2021-2022
Betis,23.7,17.6,1.97,1.45,1.21,1.08,0.39,2.47,1.71,0.13,0.26,0.13,0.21,0.03,2021-2022
Cadiz,18.1,12.1,2.26,1.00,1.24,1.08,0.42,1.45,0.84,0.18,0.08,0.13,0.16,0.05,2021-2022
Celta Vigo,18.4,14.2,1.13,0.66,1.32,0.89,0.24,1.84,1.37,0.05,0.08,0.29,0.03,0.03,2021-2022
