Equipo,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Att,Succ,Tkld,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Temporada
Real Madrid,738.9,53.6,194.4,353.0,198.1,28.3,19.9,12.1,7.76,462.5,2478.3,1259.7,26.6,19.7,7.92,13.0,9.37,539.9,54.8,2018-2019
Real Sociedad,597.7,64.9,201.2,280.6,122.3,17.4,17.9,10.8,7.03,326.8,1965.5,1046.6,18.3,13.8,3.53,15.0,12.3,380.5,36.0,2018-2019
Sevilla,600.7,56.7,188.1,261.7,157.6,25.1,15.9,9.39,6.55,335.0,1806.7,1003.5,21.8,15.5,5.24,12.8,10.3,380.1,47.2,2018-2019
Valencia,570.5,55.1,175.9,259.7,141.2,22.0,15.5,9.03,6.47,298.0,1723.0,918.6,19.8,13.1,4.66,13.2,8.87,357.0,40.7,2018-2019
Valladolid,536.5,60.3,182.0,237.4,122.6,15.6,12.6,7.74,4.82,275.6,1590.2,856.9,17.4,12.4,3.92,13.3,9.13,314.0,34.1,2018-2019
Villarreal,573.6,57.5,177.7,264.4,137.6,21.2,15.9,9.16,6.71,309.3,1699.7,905.8,18.8,12.6,5.50,13.2,8.95,359.6,43.2,2018-2019
Alaves,470.1,53.5,159.5,220.0,95.3,13.4,13.1,6.61,6.47,246.7,1175.1,548.8,10.6,8.08,2.63,14.1,8.13,250.7,24.6,2019-2020
Athletic Club,548.9,54.3,163.5,258.8,132.4,15.6,15.4,8.87,6.58,272.5,1534.6,811.6,15.9,13.0,2.89,15.2,7.87,326.9,33.5,2019-2020
Atletico de Madrid,575.3,50.5,162.7,278.6,138.8,21.2,14.3,9.16,5.13,312.4,1542.8,791.4,15.7,13.6,4.11,15.4,9.92,355.4,34.8,2019-2020
Barcelona,834.6,63.7,202.2,410.7,227.1,28.1,20.9,13.8,7.08,537.3,2690.2,1506.7,24.3,22.7,6.39,11.7,9.32,647.5,53.6,2019-2020
Betis,624.1,65.4,206.7,274.5,149.1,22.2,18.8,11.7,7.05,369.1,2073.0,1079.5,21.9,16.7,5.26,14.4,9.34,422.8,38.5,2019-2020
Celta Vigo,594.1,60.3,197.5,273.0,129.1,15.4,16.1,9.74,6.32,340.0,1800.9,881.4,17.6,13.7,3.50,14.2,9.87,380.5,35.7,2019-2020
Eibar,513.2,46.8,135.9,239.1,144.2,16.7,12.1,6.84,5.21,252.3,1282.8,578.0,11.2,10.8,2.89,14.8,9.34,271.9,32.8,2019-2020
Espanyol,533.7,55.1,180.5,243.0,116.2,15.9,12.9,7.39,5.47,280.1,1561.2,782.1,14.8,10.7,2.71,15.2,8.71,310.1,32.2,2019-2020
Getafe,466.8,39.1,127.4,208.0,137.0,17.1,12.5,7.21,5.32,198.7,1063.8,497.5,10.9,8.68,2.16,16.7,8.37,216.1,31.0,2019-2020
Granada,475.6,58.6,165.3,200.9,115.2,15.4,14.6,7.89,6.66,257.7,1380.0,664.4,13.4,10.0,2.92,12.8,7.63,255.8,26.2,2019-2020
Leganes,495.8,46.4,152.6,222.8,126.1,16.7,15.3,9.00,6.29,244.0,1311.3,647.6,13.1,10.8,3.21,14.3,7.66,269.6,30.1,2019-2020
Levante,531.8,65.2,201.1,218.2,117.2,16.6,16.8,10.2,6.61,284.1,1622.4,846.1,18.7,11.0,4.13,14.1,7.95,324.0,35.5,2019-2020
