Equipo,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Temporada
Betis,425.8,521.7,81.6,7495.1,2486.6,0.92,0.97,0.89,-0.05,9.47,26.7,8.47,2.21,38.8,2019-2020
Celta Vigo,382.9,488.3,78.4,6555.6,2376.9,0.68,0.69,0.69,-0.01,7.34,25.5,6.66,1.58,35.9,2019-2020
Eibar,274.7,409.2,67.1,5468.8,2208.5,0.63,0.68,0.69,-0.05,7.68,26.5,5.89,2.84,33.3,2019-2020
Espanyol,312.7,430.6,72.6,5915.7,2297.0,0.45,0.72,0.70,-0.27,7.45,25.3,5.84,2.26,32.6,2019-2020
Getafe,218.9,360.9,60.7,4347.5,2059.6,0.82,0.73,0.70,0.08,7.47,25.5,7.24,3.42,31.5,2019-2020
Granada,258.2,371.2,69.5,5011.0,2096.2,0.89,0.80,0.69,0.09,7.24,21.6,4.63,1.82,26.6,2019-2020
Leganes,272.0,390.5,69.7,4983.1,2132.3,0.50,0.73,0.67,-0.23,7.68,23.4,5.87,2.50,30.7,2019-2020
Levante,326.7,429.8,76.0,5969.4,2419.9,0.74,0.96,0.72,-0.22,8.58,25.9,6.66,1.97,35.7,2019-2020
Mallorca,310.1,411.5,75.4,5323.3,2238.4,0.55,0.67,0.70,-0.12,8.13,21.9,5.55,1.92,31.8,2019-2020
Osasuna,288.4,418.5,68.9,5486.2,2337.2,0.68,0.91,0.78,-0.22,8.97,24.9,7.03,2.47,35.8,2019-2020
Real Madrid,529.1,624.6,84.7,9273.6,2989.7,1.37,1.31,1.24,0.06,11.5,40.7,10.5,2.63,51.9,2019-2020
Real Sociedad,420.8,532.3,79.0,7487.9,2612.6,1.00,0.93,0.91,0.07,8.50,29.9,8.61,2.26,41.8,2019-2020
Sevilla,461.2,571.9,80.6,8415.1,2796.4,0.92,1.01,1.04,-0.09,9.45,33.5,9.03,2.89,48.0,2019-2020
Valencia,381.3,480.5,79.4,6877.6,2393.9,0.89,0.83,0.78,0.06,6.66,25.6,7.18,1.55,36.3,2019-2020
Valladolid,294.4,406.8,72.4,5533.6,2155.9,0.50,0.63,0.54,-0.13,6.68,22.1,4.08,1.50,29.1,2019-2020
Villarreal,426.8,527.5,80.9,7763.1,2601.3,1.05,1.13,0.98,-0.08,9.68,29.3,7.26,1.97,39.0,2019-2020
Alaves,268.8,378.6,71.0,5178.3,2279.4,0.55,0.72,0.55,-0.17,6.74,20.8,4.97,2.16,24.7,2020-2021
Athletic Club,357.3,469.5,76.1,6608.9,2406.7,0.82,0.82,0.73,-0.01,7.97,27.7,7.47,2.08,39.4,2020-2021
Atletico de Madrid,441.0,544.2,81.0,7276.5,2500.2,1.42,1.07,1.02,0.35,9.13,30.1,9.74,1.39,42.2,2020-2021
Barcelona,662.9,749.7,88.4,10108.2,3136.1,1.34,1.40,1.67,-0.06,11.9,49.3,13.6,1.37,56.8,2020-2021
Betis,416.2,517.9,80.4,7194.7,2482.3,0.92,0.88,0.80,0.04,8.79,27.6,7.84,2.11,37.9,2020-2021
Cadiz,209.2,317.6,65.9,4180.9,1901.3,0.42,0.54,0.44,-0.12,5.16,17.2,4.00,1.92,22.5,2020-2021
Celta Vigo,399.4,508.4,78.6,6922.8,2404.1,1.03,0.97,0.84,0.06,7.03,25.7,6.53,1.26,34.4,2020-2021
Eibar,310.8,444.5,69.9,6173.9,2437.0,0.53,0.79,0.75,-0.26,8.13,29.4,6.68,3.11,34.1,2020-2021
Elche,354.8,448.8,79.0,6423.0,2479.7,0.66,0.57,0.52,0.08,5.00,20.6,3.89,2.08,24.4,2020-2021
Getafe,236.2,364.8,64.8,4499.7,2008.3,0.37,0.62,0.63,-0.25,6.87,22.7,5.92,2.68,28.7,2020-2021
Granada,239.0,350.9,68.1,4572.7,1953.9,0.79,0.71,0.59,0.08,5.89,21.4,4.55,1.53,25.7,2020-2021
Huesca,355.4,460.0,77.3,6603.2,2314.4,0.61,0.70,0.67,-0.10,7.76,23.6,5.82,2.97,31.2,2020-2021
Levante,373.4,476.7,78.3,6763.3,2525.7,0.92,0.78,0.79,0.14,7.53,28.6,8.05,2.18,40.4,2020-2021
Osasuna,269.3,395.6,68.1,5298.7,2409.3,0.66,0.66,0.73,0.00,6.82,25.5,6.87,2.66,32.1,2020-2021
Real Madrid,543.5,634.7,85.6,9288.6,2932.6,1.39,1.25,1.28,0.15,11.5,40.1,10.6,2.03,50.5,2020-2021
Real Sociedad,392.5,499.9,78.5,6965.6,2420.6,1.03,1.04,1.04,-0.02,8.11,28.9,9.03,1.68,40.9,2020-2021
Sevilla,506.5,601.9,84.2,9025.9,2802.1,0.95,1.08,1.06,-0.13,10.2,32.5,9.11,3.21,42.8,2020-2021
Valencia,335.7,433.7,77.4,6358.5,2348.6,0.92,0.72,0.65,0.20,7.45,24.4,6.29,1.63,31.1,2020-2021
Valladolid,293.3,404.9,72.4,5423.8,2112.1,0.55,0.64,0.68,-0.08,6.92,23.0,5.61,2.37,29.0,2020-2021
Villarreal,460.7,556.0,82.9,8036.9,2759.0,0.87,1.07,1.07,-0.20,8.34,30.9,9.42,2.13,42.8,2020-2021
Alaves,254.6,373.0,68.3,5027.5,2256.3,0.53,0.67,0.60,-0.14,6.84,22.0,5.24,2.21,25.9,2021-2022
