Equipo,TL,TE,OG,PSxG,PSxG/SoT,PSxG+/-,Temporada
Celta Vigo,0.00,0.03,0.05,1.14,0.27,0.06,2021-2022
Elche,0.00,0.16,0.00,1.43,0.27,0.07,2021-2022
Espanyol,0.00,0.11,0.05,1.41,0.30,0.07,2021-2022
Getafe,0.00,0.13,0.03,1.08,0.29,0.02,2021-2022
Granada,0.00,0.18,0.05,1.58,0.27,0.03,2021-2022
Levante,0.03,0.34,0.00,1.73,0.30,-0.27,2021-2022
Mallorca,0.03,0.13,0.11,1.42,0.30,-0.14,2021-2022
Osasuna,0.00,0.29,0.05,1.29,0.29,0.00,2021-2022
Rayo Vallecano,0.00,0.11,0.03,1.31,0.25,0.02,2021-2022
Real Madrid,0.03,0.05,0.00,0.97,0.25,0.16,2021-2022
Real Sociedad,0.03,0.21,0.00,0.93,0.24,-0.04,2021-2022
Sevilla,0.05,0.16,0.00,0.82,0.24,0.03,2021-2022
Valencia,0.00,0.18,0.08,1.42,0.29,0.11,2021-2022
Villarreal,0.00,0.08,0.03,0.98,0.26,0.03,2021-2022
Almeria,0.03,0.13,0.03,1.67,0.29,-0.02,2022-2023
Athletic Club,0.03,0.03,0.08,0.98,0.29,-0.07,2022-2023
Atletico de Madrid,0.03,0.13,0.00,0.96,0.26,0.09,2022-2023
Barcelona,0.00,0.05,0.08,0.66,0.22,0.21,2022-2023
Betis,0.03,0.18,0.03,1.16,0.29,0.11,2022-2023
Cadiz,0.03,0.18,0.00,1.41,0.22,0.01,2022-2023
Celta Vigo,0.03,0.26,0.03,1.13,0.27,-0.24,2022-2023
Elche,0.00,0.16,0.05,1.89,0.31,0.18,2022-2023
Espanyol,0.03,0.24,0.05,1.43,0.27,-0.33,2022-2023
Getafe,0.00,0.18,0.05,1.20,0.23,0.07,2022-2023
Girona,0.05,0.13,0.00,1.63,0.33,0.18,2022-2023
Mallorca,0.00,0.08,0.00,1.09,0.24,-0.04,2022-2023
Osasuna,0.03,0.08,0.05,1.03,0.26,-0.02,2022-2023
Rayo Vallecano,0.00,0.29,0.11,1.21,0.30,-0.08,2022-2023
