Equipo,Gls.,Dis,DaP,FK,TP,TPint,xG,npxG,Temporada
Alaves,1.05,10.2,3.53,0.58,0.03,0.08,1.01,0.95,2017-2018
Athletic Club,1.03,11.1,3.74,0.34,0.16,0.21,1.31,1.15,2017-2018
Atletico de Madrid,1.50,10.6,3.87,0.39,0.11,0.13,1.32,1.22,2017-2018
Barcelona,2.53,15.1,6.95,1.58,0.08,0.13,2.20,2.11,2017-2018
Betis,1.47,10.9,4.21,0.58,0.05,0.08,1.21,1.15,2017-2018
Celta Vigo,1.50,11.7,4.13,0.87,0.05,0.08,1.45,1.38,2017-2018
Eibar,1.13,12.3,3.45,0.61,0.05,0.08,1.08,1.02,2017-2018
Espanyol,0.87,10.8,3.37,0.45,0.05,0.08,1.08,1.02,2017-2018
Getafe,1.08,9.50,3.21,0.42,0.13,0.32,1.27,1.02,2017-2018
Girona,1.32,11.8,3.92,0.71,0.16,0.21,1.33,1.17,2017-2018
Deportivo de La Coruna,1.00,12.2,3.50,0.37,0.08,0.13,1.36,1.26,2017-2018
Las Palmas,0.63,10.7,3.13,1.00,0.16,0.21,1.01,0.85,2017-2018
Leganes,0.84,10.3,3.29,0.34,0.05,0.08,1.05,0.99,2017-2018
Levante,1.13,10.7,3.13,0.68,0.13,0.13,1.18,1.07,2017-2018
Malaga,0.61,10.4,2.84,0.37,0.11,0.16,1.01,0.89,2017-2018
Real Madrid,2.39,18.1,7.03,0.74,0.21,0.26,2.25,2.04,2017-2018
Real Sociedad,1.68,13.6,4.34,0.61,0.11,0.13,1.41,1.31,2017-2018
Sevilla,1.26,13.4,4.58,0.47,0.11,0.13,1.57,1.47,2017-2018
Valencia,1.66,12.4,4.61,0.68,0.21,0.21,1.47,1.31,2017-2018
Villarreal,1.47,12.4,4.26,0.39,0.11,0.13,1.40,1.30,2017-2018
Alaves,1.03,11.2,3.05,0.42,0.05,0.08,1.08,1.02,2018-2019
Athletic Club,1.03,10.0,3.47,0.16,0.13,0.18,1.14,0.99,2018-2019
Atletico de Madrid,1.39,11.6,4.08,0.55,0.08,0.11,1.24,1.16,2018-2019
Barcelona,2.32,14.5,6.37,1.32,0.21,0.24,1.99,1.81,2018-2019
Betis,1.13,11.5,4.11,0.82,0.13,0.18,1.24,1.09,2018-2019
Celta Vigo,1.37,11.7,4.00,0.58,0.18,0.18,1.22,1.08,2018-2019
Eibar,1.21,13.8,3.87,0.53,0.18,0.21,1.44,1.28,2018-2019
Espanyol,1.13,12.4,4.05,0.66,0.11,0.11,1.29,1.21,2018-2019
Getafe,1.24,10.4,3.21,0.34,0.16,0.16,1.22,1.09,2018-2019
Girona,0.97,10.3,3.61,0.55,0.16,0.16,1.14,1.03,2018-2019
Huesca,1.13,12.2,3.66,0.50,0.16,0.18,1.34,1.19,2018-2019
Leganes,0.95,10.9,3.37,0.37,0.08,0.13,1.07,0.97,2018-2019
Levante,1.47,11.4,4.05,0.84,0.13,0.18,1.42,1.27,2018-2019
Rayo Vallecano,1.05,11.9,3.79,0.58,0.13,0.13,1.28,1.18,2018-2019
Real Madrid,1.61,15.4,5.34,0.50,0.24,0.24,1.76,1.58,2018-2019
Real Sociedad,1.16,11.0,3.50,0.42,0.21,0.26,1.31,1.11,2018-2019
Sevilla,1.58,13.8,4.39,0.29,0.13,0.16,1.75,1.63,2018-2019
Valencia,1.32,12.4,4.13,0.47,0.13,0.18,1.60,1.45,2018-2019
Valladolid,0.82,10.7,3.29,0.63,0.11,0.18,1.08,0.94,2018-2019
Villarreal,1.24,12.8,4.45,0.21,0.08,0.16,1.42,1.32,2018-2019
Alaves,0.89,8.08,2.58,0.29,0.16,0.16,1.03,0.91,2019-2020
Athletic Club,1.05,10.6,3.32,0.42,0.21,0.26,1.09,0.89,2019-2020
Atletico de Madrid,1.32,11.6,3.58,0.37,0.16,0.21,1.49,1.33,2019-2020
Barcelona,2.21,12.8,5.61,1.21,0.16,0.16,1.74,1.62,2019-2020
Betis,1.26,12.4,4.00,0.53,0.16,0.21,1.34,1.19,2019-2020
Celta Vigo,0.97,9.45,3.45,0.61,0.16,0.24,1.03,0.85,2019-2020
Eibar,1.00,11.0,3.47,0.55,0.18,0.26,1.11,0.90,2019-2020
Espanyol,0.66,10.7,3.16,0.53,0.11,0.11,1.02,0.94,2019-2020
Getafe,1.11,10.7,3.18,0.82,0.16,0.18,1.09,0.95,2019-2020
Granada,1.32,10.2,3.11,0.66,0.13,0.13,1.18,1.08,2019-2020
Leganes,0.79,11.2,3.76,0.76,0.08,0.13,1.05,0.94,2019-2020
Levante,1.18,11.1,3.50,0.55,0.13,0.13,1.27,1.16,2019-2020
Mallorca,1.03,10.8,3.11,0.58,0.21,0.26,1.08,0.88,2019-2020
Osasuna,1.21,12.0,3.74,0.58,0.21,0.21,1.30,1.14,2019-2020
Real Madrid,1.82,14.5,5.84,0.47,0.29,0.29,1.79,1.56,2019-2020
Real Sociedad,1.42,11.2,3.66,0.32,0.11,0.13,1.29,1.19,2019-2020
Sevilla,1.39,12.7,4.32,0.45,0.18,0.18,1.40,1.26,2019-2020
Valencia,1.18,8.71,2.92,0.47,0.13,0.21,1.14,0.98,2019-2020
Valladolid,0.82,9.71,3.05,0.76,0.08,0.16,0.96,0.84,2019-2020
Villarreal,1.63,12.7,4.21,0.39,0.26,0.29,1.67,1.45,2019-2020
Alaves,0.92,8.92,2.50,0.32,0.13,0.21,1.12,0.96,2020-2021
Athletic Club,1.13,10.5,3.37,0.39,0.11,0.13,1.13,1.03,2020-2021
Atletico de Madrid,1.71,11.9,4.68,0.34,0.13,0.18,1.39,1.24,2020-2021
Barcelona,2.11,15.1,6.08,1.13,0.11,0.21,1.93,1.77,2020-2021
Betis,1.32,11.4,3.82,0.42,0.21,0.29,1.29,1.07,2020-2021
Cadiz,0.87,7.87,2.55,0.37,0.11,0.11,0.91,0.83,2020-2021
Celta Vigo,1.45,9.21,3.50,0.34,0.18,0.18,1.33,1.18,2020-2021
Eibar,0.76,11.7,3.34,0.37,0.11,0.24,1.19,1.01,2020-2021
Elche,0.87,6.97,2.26,0.32,0.05,0.08,0.79,0.72,2020-2021
Getafe,0.71,9.34,2.55,0.63,0.08,0.13,0.91,0.80,2020-2021
Granada,1.24,9.32,3.18,0.55,0.08,0.13,1.08,0.98,2020-2021
Huesca,0.84,10.6,3.42,0.34,0.08,0.11,1.02,0.95,2020-2021
Levante,1.18,9.89,3.29,0.26,0.08,0.16,1.06,0.94,2020-2021
Osasuna,0.95,9.68,3.00,0.18,0.13,0.16,1.02,0.91,2020-2021
Real Madrid,1.68,14.3,4.39,0.45,0.08,0.08,1.62,1.56,2020-2021
Real Sociedad,1.53,11.0,3.66,0.53,0.24,0.32,1.60,1.36,2020-2021
Sevilla,1.37,11.9,3.55,0.39,0.16,0.18,1.43,1.29,2020-2021
Valencia,1.26,10.1,3.39,0.84,0.21,0.26,1.12,0.92,2020-2021
Valladolid,0.89,9.45,2.89,0.66,0.18,0.21,1.06,0.89,2020-2021
Villarreal,1.50,10.3,3.84,0.34,0.32,0.34,1.48,1.22,2020-2021
Alaves,0.76,9.82,2.92,0.39,0.16,0.18,0.98,0.84,2021-2022
Athletic Club,1.05,12.1,3.95,0.29,0.08,0.18,1.31,1.16,2021-2022
Atletico de Madrid,1.66,12.1,4.00,0.21,0.11,0.13,1.43,1.33,2021-2022
Barcelona,1.79,13.4,4.66,0.39,0.16,0.18,1.67,1.52,2021-2022
Betis,1.58,13.4,4.79,0.55,0.16,0.16,1.41,1.28,2021-2022
Cadiz,0.92,10.7,3.11,0.37,0.08,0.16,1.04,0.92,2021-2022
Celta Vigo,1.13,10.7,3.55,0.37,0.08,0.16,1.13,1.01,2021-2022
Elche,1.03,8.79,2.79,0.21,0.03,0.03,0.89,0.87,2021-2022
Espanyol,1.03,10.6,3.37,0.63,0.13,0.13,0.97,0.87,2021-2022
Getafe,0.82,10.6,2.92,0.76,0.08,0.13,0.77,0.67,2021-2022
Granada,1.13,11.1,3.45,0.32,0.08,0.13,1.03,0.92,2021-2022
Levante,1.34,11.3,3.84,0.37,0.21,0.34,1.45,1.19,2021-2022
Mallorca,0.87,11.6,3.45,0.61,0.16,0.18,1.02,0.88,2021-2022
Osasuna,0.97,11.2,3.00,0.29,0.16,0.21,0.97,0.81,2021-2022
Rayo Vallecano,1.00,13.2,3.50,0.71,0.11,0.11,1.13,1.04,2021-2022
Real Madrid,2.11,17.0,6.39,0.55,0.21,0.32,1.89,1.64,2021-2022
Real Sociedad,1.05,11.3,3.76,0.47,0.24,0.26,1.36,1.15,2021-2022
Sevilla,1.34,11.3,3.66,0.26,0.05,0.08,1.12,1.05,2021-2022
Valencia,1.18,10.4,3.39,0.47,0.21,0.24,1.03,0.85,2021-2022
Villarreal,1.63,11.8,4.32,0.21,0.13,0.16,1.69,1.58,2021-2022
Almeria,1.29,11.6,4.08,0.55,0.05,0.08,1.20,1.14,2022-2023
Athletic Club,1.21,14.2,4.13,0.34,0.13,0.18,1.43,1.28,2022-2023
Atletico de Madrid,1.79,14.2,5.13,0.24,0.03,0.03,1.63,1.61,2022-2023
Barcelona,1.82,15.0,4.92,0.53,0.00,0.05,1.99,1.95,2022-2023
Betis,1.13,10.8,3.63,0.55,0.21,0.24,1.35,1.17,2022-2023
Cadiz,0.76,10.3,2.84,0.32,0.11,0.13,1.09,0.99,2022-2023
Celta Vigo,1.08,12.4,4.21,0.50,0.05,0.08,1.12,1.06,2022-2023
Elche,0.79,10.5,3.26,0.26,0.11,0.13,0.99,0.88,2022-2023
Espanyol,1.34,11.0,3.97,0.34,0.13,0.13,1.27,1.17,2022-2023
Getafe,0.89,9.61,3.05,0.50,0.13,0.21,0.97,0.80,2022-2023
Girona,1.45,11.7,4.21,0.16,0.21,0.24,1.33,1.15,2022-2023
Mallorca,0.95,8.53,2.82,0.21,0.11,0.13,0.93,0.82,2022-2023
Osasuna,0.95,11.6,3.50,0.18,0.11,0.13,1.05,0.94,2022-2023
Rayo Vallecano,1.08,13.4,3.84,0.63,0.11,0.21,1.16,0.99,2022-2023
Real Madrid,1.92,16.7,5.42,0.84,0.24,0.32,1.99,1.74,2022-2023
Real Sociedad,1.24,12.2,4.55,0.39,0.05,0.11,1.39,1.31,2022-2023
