Equipo,Derribos Tkl,Derribos TklG,Derribos 3.º def.,Derribos 3.º cent.,Derribos 3.º ataq.,Desafíos Tkl,Desafíos Att,Desafíos Tkl%,Desafíos Pérdida,Bloqueos,Bloqueos Dis,Bloqueos Pases,Intercepciones,Tkl+Int,Desp.,Err,Temporada
Alaves,15.2,9.11,6.87,6.97,1.39,6.71,16.3,41.2,9.58,10.1,3.00,7.13,10.3,25.6,20.2,0.18,2019-2020
Athletic Club,14.0,8.53,6.89,5.37,1.76,5.71,16.1,35.4,10.4,8.92,2.42,6.50,9.82,23.8,19.9,0.18,2019-2020
Atletico de Madrid,17.3,10.7,7.71,7.16,2.45,7.45,16.8,44.2,9.39,10.0,2.84,7.16,10.8,28.2,19.2,0.47,2019-2020
Barcelona,14.1,8.50,5.68,5.87,2.55,5.55,13.2,42.1,7.63,8.24,2.29,5.95,9.00,23.1,13.9,0.42,2019-2020
Betis,13.2,7.87,7.26,4.55,1.37,5.82,13.4,43.2,7.63,8.84,3.13,5.71,7.95,21.1,17.9,0.21,2019-2020
Celta Vigo,15.5,9.39,9.05,5.08,1.37,6.61,16.2,40.8,9.58,9.08,2.34,6.74,10.4,25.9,21.2,0.32,2019-2020
Eibar,14.9,8.89,6.32,6.00,2.61,6.95,16.0,43.5,9.03,8.74,2.13,6.61,11.3,26.2,18.2,0.21,2019-2020
Espanyol,16.5,9.58,7.97,6.66,1.89,6.76,18.4,36.7,11.7,10.0,2.53,7.47,9.47,26.0,19.2,0.45,2019-2020
Getafe,15.3,8.97,6.18,6.92,2.16,6.18,15.1,41.0,8.89,9.84,1.58,8.26,9.66,24.9,16.4,0.32,2019-2020
Granada,15.4,9.18,6.76,6.76,1.84,6.26,15.0,41.8,8.74,9.87,3.11,6.76,10.1,25.4,19.7,0.26,2019-2020
Leganes,15.9,9.39,8.34,5.66,1.87,6.68,16.1,41.6,9.37,8.42,1.92,6.50,11.0,26.9,18.1,0.18,2019-2020
Levante,13.3,7.58,7.39,4.55,1.39,5.37,14.0,38.3,8.63,8.34,2.82,5.53,8.71,22.1,20.1,0.37,2019-2020
Mallorca,14.3,8.89,7.37,5.61,1.37,5.97,15.8,37.7,9.87,9.47,3.08,6.39,9.89,24.2,17.7,0.24,2019-2020
Osasuna,16.1,9.50,7.24,7.03,1.87,7.03,16.2,43.3,9.21,10.1,2.58,7.55,11.0,27.1,19.4,0.50,2019-2020
Real Madrid,15.4,9.34,6.63,6.66,2.13,5.95,15.7,38.0,9.71,9.66,2.03,7.63,10.0,25.4,15.5,0.34,2019-2020
Real Sociedad,14.5,8.45,6.68,5.89,1.92,6.63,15.1,44.0,8.45,9.11,2.08,7.03,8.42,22.9,18.3,0.32,2019-2020
Sevilla,15.4,9.05,7.21,6.47,1.76,6.87,17.4,39.5,10.5,8.71,2.47,6.24,9.11,24.6,18.5,0.26,2019-2020
Valencia,13.2,8.18,7.11,4.55,1.50,6.11,15.5,39.4,9.39,8.79,3.42,5.37,9.47,22.6,19.7,0.32,2019-2020
Valladolid,14.9,8.61,8.32,5.37,1.26,6.29,17.7,35.6,11.4,10.3,2.95,7.34,10.3,25.2,19.7,0.34,2019-2020
Villarreal,14.6,8.50,6.58,6.29,1.68,5.74,15.8,36.2,10.1,9.53,3.05,6.47,8.92,23.5,21.4,0.32,2019-2020
Alaves,13.1,7.68,6.92,4.76,1.45,5.18,14.9,34.9,9.68,8.97,2.37,6.61,11.2,24.4,20.2,0.21,2020-2021
Athletic Club,12.2,7.08,5.11,5.26,1.79,4.42,13.6,32.6,9.16,8.97,1.95,7.03,9.05,21.2,18.0,0.24,2020-2021
Atletico de Madrid,16.4,9.66,7.66,6.66,2.05,7.79,16.6,46.9,8.82,9.50,2.18,7.32,10.2,26.5,17.7,0.18,2020-2021
Barcelona,13.1,7.71,5.87,5.13,2.13,5.89,13.7,42.9,7.84,8.55,1.84,6.71,9.50,22.6,11.3,0.42,2020-2021
Betis,14.6,8.29,7.21,5.82,1.61,5.55,14.6,37.9,9.08,9.53,1.95,7.58,11.9,26.6,18.1,0.29,2020-2021
Cadiz,15.1,8.34,8.03,5.68,1.37,6.50,16.0,40.7,9.47,9.68,2.61,7.08,11.5,26.6,20.7,0.21,2020-2021
