Equipo,GC,DaPC,Salvadas,PG,PE,PP,PaC,TPint,PD,Temporada
Cadiz,1.53,3.95,2.39,0.29,0.29,0.42,0.26,0.26,0.24,2020-2021
Celta Vigo,1.50,3.63,2.13,0.37,0.29,0.34,0.24,0.21,0.18,2020-2021
Eibar,1.37,3.55,2.16,0.16,0.32,0.53,0.24,0.13,0.08,2020-2021
Elche,1.45,4.29,2.79,0.21,0.32,0.47,0.18,0.26,0.16,2020-2021
Getafe,1.13,2.92,1.84,0.24,0.29,0.47,0.37,0.21,0.18,2020-2021
Granada,1.71,4.47,2.66,0.34,0.18,0.47,0.24,0.32,0.16,2020-2021
Huesca,1.39,3.92,2.58,0.18,0.34,0.47,0.24,0.13,0.13,2020-2021
Levante,1.50,4.29,2.84,0.24,0.37,0.39,0.11,0.11,0.08,2020-2021
Osasuna,1.26,3.74,2.47,0.29,0.29,0.42,0.29,0.21,0.13,2020-2021
Real Madrid,0.74,3.05,2.32,0.66,0.24,0.11,0.45,0.21,0.18,2020-2021
Real Sociedad,1.00,2.76,1.76,0.45,0.29,0.26,0.37,0.13,0.08,2020-2021
Sevilla,0.87,3.16,2.29,0.63,0.13,0.24,0.45,0.16,0.11,2020-2021
Valencia,1.39,4.61,3.18,0.26,0.34,0.39,0.18,0.21,0.13,2020-2021
Valladolid,1.50,4.24,2.74,0.13,0.42,0.45,0.08,0.18,0.16,2020-2021
Villarreal,1.16,3.32,2.18,0.39,0.34,0.26,0.26,0.24,0.18,2020-2021
Alaves,1.71,4.42,2.63,0.21,0.18,0.61,0.16,0.24,0.16,2021-2022
Athletic Club,0.95,3.45,2.53,0.37,0.34,0.29,0.34,0.08,0.08,2021-2022
Atletico de Madrid,1.13,2.79,1.71,0.55,0.21,0.24,0.32,0.21,0.18,2021-2022
Barcelona,1.00,3.24,2.21,0.55,0.26,0.18,0.29,0.08,0.05,2021-2022
Betis,1.05,3.47,2.47,0.50,0.21,0.29,0.34,0.08,0.08,2021-2022
Cadiz,1.34,4.47,3.08,0.21,0.39,0.39,0.34,0.34,0.29,2021-2022
Celta Vigo,1.13,3.58,2.39,0.32,0.26,0.42,0.37,0.21,0.11,2021-2022
Elche,1.37,4.58,3.18,0.29,0.24,0.47,0.21,0.24,0.18,2021-2022
Espanyol,1.39,4.45,3.11,0.26,0.32,0.42,0.26,0.13,0.11,2021-2022
Getafe,1.08,3.47,2.39,0.21,0.39,0.39,0.37,0.11,0.05,2021-2022
Granada,1.61,5.08,3.47,0.21,0.37,0.42,0.21,0.24,0.18,2021-2022
Levante,2.00,5.34,3.32,0.21,0.29,0.50,0.18,0.16,0.13,2021-2022
Mallorca,1.66,4.00,2.39,0.26,0.24,0.50,0.24,0.21,0.16,2021-2022
Osasuna,1.34,3.97,2.61,0.32,0.29,0.39,0.32,0.18,0.11,2021-2022
Rayo Vallecano,1.32,4.29,2.95,0.29,0.24,0.47,0.24,0.24,0.18,2021-2022
Real Madrid,0.82,3.39,2.55,0.68,0.21,0.11,0.42,0.13,0.08,2021-2022
Real Sociedad,0.97,3.34,2.34,0.45,0.29,0.26,0.53,0.16,0.13,2021-2022
Sevilla,0.79,3.18,2.37,0.47,0.42,0.11,0.45,0.11,0.05,2021-2022
